('kaistattani', 'kaista+N+Sg+Abe+PxSg1', 'kaista, singular, abessive, first person singular')
('kinoksiimme', 'kinos+N+Pl+Ill+PxPl1', 'kinos, plural, illative, first person plural')
('kinokseenne', 'kinos+N+Sg+Ill+PxPl2', 'kinos, singular, illative, second person plural')
('kinoksiinne', 'kinos+N+Pl+Ill+PxPl2', 'kinos, plural, illative, second person plural')
('kinokseensa', 'kinos+N+Sg+Ill+PxPl3', 'kinos, singular, illative, third person plural')
('kinoksiinsa', 'kinos+N+Pl+Ill+PxPl3', 'kinos, plural, illative, third person plural')
('kinoksestani', 'kinos+N+Sg+Ela+PxSg1', 'kinos, singular, elative, first person singular')
('kinoksistani', 'kinos+N+Pl+Ela+PxSg1', 'kinos, plural, elative, first person singular')
('kinoksestasi', 'kinos+N+Sg+Ela+PxSg2', 'kinos, singular, elative, second person singular')
('kinoksistasi', 'kinos+N+Pl+Ela+PxSg2', 'kinos, plural, elative, second person singular')
('kinoksestaan', 'kinos+N+Sg+Ela+PxSg3', 'kinos, singular, elative, third person singular')
('kinoksestansa', 'kinos+N+Sg+Ela+PxSg3', 'kinos, singular, elative, third person singular')
('kinoksistaan', 'kinos+N+Pl+Ela+PxSg3', 'kinos, plural, elative, third person singular')
('kinoksistansa', 'kinos+N+Pl+Ela+PxSg3', 'kinos, plural, elative, third person singular')
('kinoksestamme', 'kinos+N+Sg+Ela+PxPl1', 'kinos, singular, elative, first person plural')
('kinoksistamme', 'kinos+N+Pl+Ela+PxPl1', 'kinos, plural, elative, first person plural')
('kinoksestanne', 'kinos+N+Sg+Ela+PxPl2', 'kinos, singular, elative, second person plural')
('kinoksistanne', 'kinos+N+Pl+Ela+PxPl2', 'kinos, plural, elative, second person plural')
('kinoksestaan', 'kinos+N+Sg+Ela+PxPl3', 'kinos, singular, elative, third person plural')
('kinoksestansa', 'kinos+N+Sg+Ela+PxPl3', 'kinos, singular, elative, third person plural')
('kinoksistaan', 'kinos+N+Pl+Ela+PxPl3', 'kinos, plural, elative, third person plural')
('kinoksistansa', 'kinos+N+Pl+Ela+PxPl3', 'kinos, plural, elative, third person plural')
('kinoksekseni', 'kinos+N+Sg+Tra+PxSg1', 'kinos, singular, translative, first person singular')
('kinoksikseni', 'kinos+N+Pl+Tra+PxSg1', 'kinos, plural, translative, first person singular')
('kinokseksesi', 'kinos+N+Sg+Tra+PxSg2', 'kinos, singular, translative, second person singular')
('kinoksiksesi', 'kinos+N+Pl+Tra+PxSg2', 'kinos, plural, translative, second person singular')
('kinoksekseen', 'kinos+N+Sg+Tra+PxSg3', 'kinos, singular, translative, third person singular')
('kinokseksensa', 'kinos+N+Sg+Tra+PxSg3', 'kinos, singular, translative, third person singular')
('kinoksikseen', 'kinos+N+Pl+Tra+PxSg3', 'kinos, plural, translative, third person singular')
('kinoksiksensa', 'kinos+N+Pl+Tra+PxSg3', 'kinos, plural, translative, third person singular')
('kinokseksemme', 'kinos+N+Sg+Tra+PxPl1', 'kinos, singular, translative, first person plural')
('kinoksiksemme', 'kinos+N+Pl+Tra+PxPl1', 'kinos, plural, translative, first person plural')
('kinokseksenne', 'kinos+N+Sg+Tra+PxPl2', 'kinos, singular, translative, second person plural')
('kinoksiksenne', 'kinos+N+Pl+Tra+PxPl2', 'kinos, plural, translative, second person plural')
('kinoksekseen', 'kinos+N+Sg+Tra+PxPl3', 'kinos, singular, translative, third person plural')
('kinokseksensa', 'kinos+N+Sg+Tra+PxPl3', 'kinos, singular, translative, third person plural')
('kinoksikseen', 'kinos+N+Pl+Tra+PxPl3', 'kinos, plural, translative, third person plural')
('kinoksiksensa', 'kinos+N+Pl+Tra+PxPl3', 'kinos, plural, translative, third person plural')
('kinoksenani', 'kinos+N+Sg+Ess+PxSg1', 'kinos, singular, essive, first person singular')
('kinoksinani', 'kinos+N+Pl+Ess+PxSg1', 'kinos, plural, essive, first person singular')
('kinoksenasi', 'kinos+N+Sg+Ess+PxSg2', 'kinos, singular, essive, second person singular')
('kinoksinasi', 'kinos+N+Pl+Ess+PxSg2', 'kinos, plural, essive, second person singular')
('kinoksenaan', 'kinos+N+Sg+Ess+PxSg3', 'kinos, singular, essive, third person singular')
('kinoksenansa', 'kinos+N+Sg+Ess+PxSg3', 'kinos, singular, essive, third person singular')
('kinoksinaan', 'kinos+N+Pl+Ess+PxSg3', 'kinos, plural, essive, third person singular')
('kinoksinansa', 'kinos+N+Pl+Ess+PxSg3', 'kinos, plural, essive, third person singular')
('kinoksenamme', 'kinos+N+Sg+Ess+PxPl1', 'kinos, singular, essive, first person plural')
('kinoksinamme', 'kinos+N+Pl+Ess+PxPl1', 'kinos, plural, essive, first person plural')
('kinoksenanne', 'kinos+N+Sg+Ess+PxPl2', 'kinos, singular, essive, second person plural')
('kinoksinanne', 'kinos+N+Pl+Ess+PxPl2', 'kinos, plural, essive, second person plural')
('kinoksenaan', 'kinos+N+Sg+Ess+PxPl3', 'kinos, singular, essive, third person plural')
('kinoksenansa', 'kinos+N+Sg+Ess+PxPl3', 'kinos, singular, essive, third person plural')
('kinoksinaan', 'kinos+N+Pl+Ess+PxPl3', 'kinos, plural, essive, third person plural')
('kinoksinansa', 'kinos+N+Pl+Ess+PxPl3', 'kinos, plural, essive, third person plural')
('kinokseni', 'kinos+N+Sg+Nom+PxSg1', 'kinos, singular, nominative, first person singular')
('kinokseni', 'kinos+N+Pl+Nom+PxSg1', 'kinos, plural, nominative, first person singular')
('kinoksesi', 'kinos+N+Sg+Nom+PxSg2', 'kinos, singular, nominative, second person singular')
('kinoksesi', 'kinos+N+Pl+Nom+PxSg2', 'kinos, plural, nominative, second person singular')
('kinoksensa', 'kinos+N+Sg+Nom+PxSg3', 'kinos, singular, nominative, third person singular')
('kinoksensa', 'kinos+N+Pl+Nom+PxSg3', 'kinos, plural, nominative, third person singular')
('kinoksemme', 'kinos+N+Sg+Nom+PxPl1', 'kinos, singular, nominative, first person plural')
('kinoksemme', 'kinos+N+Pl+Nom+PxPl1', 'kinos, plural, nominative, first person plural')
('kinoksenne', 'kinos+N+Sg+Nom+PxPl2', 'kinos, singular, nominative, second person plural')
('kinoksenne', 'kinos+N+Pl+Nom+PxPl2', 'kinos, plural, nominative, second person plural')
('kinoksensa', 'kinos+N+Sg+Nom+PxPl3', 'kinos, singular, nominative, third person plural')
('kinoksensa', 'kinos+N+Pl+Nom+PxPl3', 'kinos, plural, nominative, third person plural')

